"Country.Name","Country.Code","Years.of.Compulsory.Education","Health.Expenditure.per.capita","Diabetes.Prevalence","GDP.per.capita.PPP","Tertiary.Education.Expenditure.per.student","Human.Capital.Index","Life.Expectancy.at.birth","Population"
"Thailand","THA",9,635.02179596,7.04,17917.2068895954,NA,0.604,75.498,69209858
"Timor-Leste","TLS",9,121.67577263,6.86,7416.22335499345,NA,0.434,69.199,1243261
"Togo","TGO",10,99.90314053,6.15,1682.74920216705,77.4076538085938,0.413,60.477,7698475
"Tonga","TON",15,311.42813564,15.42,6321.60693306938,NA,0.512,73.179,101998
"Trinidad and Tobago","TTO",6,2180.52343745,10.97,31428.7976775167,NA,0.613,70.783,1384072
"Tunisia","TUN",9,806.34361548,8.52,12047.0511340458,NA,0.508,75.943,11433443
"Turkey","TUR",12,1089.24502526,12.13,27878.6092367084,NA,0.626,76.009,81101892
"Turkmenistan","TKM",12,1116.85998453,7.11,18032.2219588979,NA,NA,67.956,5757669
"Turks and Caicos Islands","TCA",13,NA,NA,23873.4206133785,NA,NA,NA,37115
"Tuvalu","TUV",8,601.02719144,27.25,3903.65500466453,NA,0.554,NA,11370
"Uganda","UGA",7,117.11069685,2.5,1945.35860419614,NA,0.382,60.182,41162465
"Ukraine","UKR",11,534.19106414,7.11,8693.69364884734,38.5709381103516,0.647,71.7809756097561,44831135
"United Arab Emirates","ARE",6,2546.18760349,17.26,73355.8769793479,NA,0.659,77.412,9487203
"United Kingdom","GBR",11,4177.81513137,4.28,44896.2645843105,36.9260711669922,0.781,81.1560975609756,66058859
"United States","USA",12,9869.74238174,10.79,59927.9298339535,NA,0.762,78.5390243902439,325147121
"Upper middle income","UMC",10,964.496540840132,9.22977972311777,17908.2837148447,NA,NA,75.5142900664971,2637690770
"Uruguay","URY",14,1958.90021849,6.93,22728.1347506876,NA,0.6,77.645,3436646
"Uzbekistan","UZB",12,416.90398159,7.57,6644.5688858411,NA,NA,71.42,32388600
"Vanuatu","VUT",NA,116.09247949,12.02,3110.31028343763,NA,0.471,72.334,285510
"Venezuela, RB","VEN",16,NA,6.47,NA,NA,NA,74.726,29390409
"Vietnam","VNM",10,356.27965474,6,6857.98404387187,NA,0.666,76.454,94596642
"Virgin Islands (U.S.)","VIR",NA,NA,12.26,NA,NA,NA,79.419512195122,107268
"West Bank and Gaza","PSE",10,NA,10.59,5117.75456253195,NA,0.554,73.646,4454805
"World","WLD",10,1355.60484824892,8.51271663174947,17136.6371983104,NA,NA,72.2332376731633,7510990456
"Yemen, Rep.","YEM",9,NA,5.35,2645.30838302614,NA,0.369,65.157,27834821
"Zambia","ZMB",7,175.17835208,3.94,4090.12004042731,NA,0.396,62.255,16853688
"Zimbabwe","ZWE",7,185.04828186,1.82,2825.72512228756,NA,0.441,61.712,14236745
